ID,Nome,Tipo,TipoMenu,Prezzo,Descrizione
1,Reti,panino,generale,12.50,"pollo grigliato, insalata croccante, pomodoro fresco e una salsa al pepe nero"
2,Ingegneria del software,panino,generale,8.00,"hamburger gourmet, cheddar fuso, bacon croccante e una base di salsa barbecue"
3,Architettura dei calcolatori,panino,generale,10.00,"roast beef, zucchine grigliate, formaggio di capra e un tocco di pesto"
4,ASD,panino,generale,14.00,"pulled pork affumicato, jalapeños infuocati, cipolla rossa sottaceto e una colata di salsa piccante"
5,Mate1,panino,generale,7.50,"Verdure grigliate, hummus, pomodori secchi e insalata"
6,Basi di dati,panino,generale,9.00,"Carne di manzo alla griglia, salsa barbecue, insalata di cavolo e cipolla"
7,Sistemi operativi,panino,generale,11.00,"Pollo grigliato, pancetta croccante, lattuga, pomodoro e maionese"

8,Crostini con patè,antipasto,generale,6.00,"Crostini di pane tostato con patè di fegato di pollo"
9,Bruschette al pomodoro,antipasto,generale,5.00,"Fette di pane tostato con pomodoro fresco, basilico e olio d'oliva"
10,Frittura di calamari,antipasto,generale,8.00,"Calamari freschi fritti, serviti con salsa tartara"
11,Carpaccio di manzo,antipasto,generale,9.00,"Carpaccio di manzo con rucola, parmigiano e olio d'oliva"
12,Insalata caprese,antipasto,generale,7.50,"Mozzarella di bufala, pomodoro fresco e basilico, con olio d'oliva e aceto balsamico"

13,Acqua naturale,bevanda,generale,1.50,"Acqua naturale 500ml"
14,Acqua frizzante,bevanda,generale,1.50,"Acqua frizzante 500ml"
15,Coca-Cola,bevanda,generale,2.00,"Coca-Cola in lattina"
16,Fanta,bevanda,generale,2.00,"Fanta in lattina"
17,Sprite,bevanda,generale,2.00,"Sprite in lattina"

18,Tiramisù,dolce,dolci,6.00,"Dessert classico italiano con mascarpone, caffè e cacao"
19,Cheesecake,dolce,dolci,5.50,"Cheesecake al limone con una base di biscotti sbriciolati"
20,Profiteroles,dolce,dolci,5.50,"Pasticcini ripieni di crema chantilly, ricoperti di cioccolato"
21,Crostata di frutta,dolce,dolci,4.50,"Crostata con crema pasticcera e frutta fresca di stagione"
22,Semifreddo,dolce,dolci,4.00,"Semifreddo al cioccolato con una leggera crema alla vaniglia"
23,Caprese,dolce,dolci,5.00,"Dessert a base di ricotta e cioccolato"

24,Birra chiara,birra,birre,4.50,"Birra artigianale chiara, leggera e rinfrescante"
25,Birra scura,birra,birre,5.00,"Birra scura corposa, con sentori di cioccolato e caffè"
26,Birra rossa,birra,birre,5.50,"Birra rossa, dolce e maltata con un tocco di frutta"
27,Birra IPA,birra,birre,6.00,"Birra IPA con note amare e agrumate"
28,Birra Weiss,birra,birre,5.50,"Birra di frumento, leggera e fresca con un aroma fruttato"
29,Stout,birra,birre,6.00,"Birra stout densa, ricca di sapori torrefatti e cioccolatosi"
